Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1.0,0.26829268292683395,0.30303030303030454,0.30229679850165936,0.5661605206073752,0.0,0,0,0,0,0,0
0.5,0.2804878048780495,0.3181818181818201,0.14567200797362578,0.6420824295010847,0.013513513513513514,0,0,0,0,0,0
0.5,0.26829268292683395,0.28787878787878896,0.24424705096329724,0.7093275488069415,0.02252252252252252,0,0,0,0,0,0
0.5,0.2804878048780495,0.30303030303030454,0.1730539643596456,0.49457700650759223,0.03153153153153153,0,0,0,0,0,0
0.5,0.2804878048780495,0.3181818181818201,0.14567200797362578,0.5054229934924079,0.04054054054054054,0,0,0,0,0,0
1.0,0.26829268292683395,0.30303030303030454,0.16429173831611932,0.5466377440347072,0.04954954954954955,0,0,0,0,0,0
0.5,0.26829268292683395,0.30303030303030454,0.3099637462897449,0.5574837310195229,0.06306306306306306,0,0,0,0,0,0
0.5,0.26829268292683395,0.30303030303030454,0.2760101203710803,0.5097613882863341,0.07207207207207207,0,0,0,0,0,0
1.0,0.2926829268292721,0.3181818181818201,0.4293490761327916,0.25813449023861174,0.08108108108108109,0,0,0,0,0,0
1.0,0.31707317073171026,0.36363636363636687,0.5103996670354103,0.245119305856833,0.0945945945945946,0,0,0,0,0,0
0.0,0.30487804878048763,0.3484848484848442,0.5553060755084829,0.15618221258134485,0.10810810810810811,0,0,0,0,0,0
0.0,0.3292682926829329,0.37878787878788245,0.16210118180523758,0.5986984815618221,0.13063063063063063,0,0,0,0,0,0
1.0,0.3292682926829329,0.37878787878788245,0.07009780834821089,0.7462039045553148,0.15315315315315314,0,0,0,0,0,0
1.0,0.3292682926829329,0.3939393939393909,0.511494945290851,0.2885032537960955,0.16666666666666666,0,0,0,0,0,0
0.5,0.3292682926829329,0.3939393939393909,0.8324114741350039,0.06290672451193063,0.18018018018018017,0,0,0,0,0,0
0.5,0.3292682926829329,0.3939393939393909,0.2924392942026923,0.6876355748373104,0.1891891891891892,0,0,0,0,0,0
1.0,0.3292682926829329,0.3939393939393909,0.03943001719586858,0.6485900216919742,0.1981981981981982,0,0,0,0,0,0
1.0,0.3414634146341484,0.3939393939393909,0.1478625644845073,0.6268980477223429,0.21171171171171171,0,0,0,0,0,0
0.0,0.35365853658537105,0.3939393939393909,0.0339536259186648,0.8199566160520608,0.22522522522522523,0,0,0,0,0,0
1.0,0.3658536585365866,0.4090909090909136,0.3910143371923638,0.3427331887201736,0.24774774774774774,0,0,0,0,0,0
0.0,0.3658536585365866,0.4090909090909136,0.10952782554407947,0.5639913232104123,0.26126126126126126,0,0,0,0,0,0
0.5,0.35365853658537105,0.4090909090909136,0.19167369470213913,0.6095444685466378,0.28378378378378377,0,0,0,0,0,0
1.0,0.3658536585365866,0.4090909090909136,0.3351551461648832,0.3036876355748373,0.2927927927927928,0,0,0,0,0,0
0.5,0.3780487804878092,0.4242424242424221,0.5290193973779038,0.19522776572668116,0.3063063063063063,0,0,0,0,0,0
1.0,0.3780487804878092,0.4242424242424221,0.31324958105606737,0.44685466377440347,0.3153153153153153,0,0,0,0,0,0
0.5,0.3780487804878092,0.43939393939393767,0.6418330576883056,0.14316702819956623,0.3288288288288288,0,0,0,0,0,0
0.5,0.39024390243903184,0.43939393939393767,0.2595809465394683,0.4837310195227766,0.33783783783783783,0,0,0,0,0,0
0.0,0.39024390243903184,0.4242424242424221,0.5870691449162659,0.17136659436008678,0.34684684684684686,0,0,0,0,0,0
0.5,0.39024390243903184,0.4242424242424221,0.17962563389229036,0.5965292841648591,0.36936936936936937,0,0,0,0,0,0
0.5,0.3780487804878092,0.4242424242424221,0.4578263107742522,0.2906724511930587,0.3783783783783784,0,0,0,0,0,0
1.0,0.39024390243903184,0.43939393939393767,0.07009780834821089,0.6832971800433842,0.38738738738738737,0,0,0,0,0,0
0.5,0.3780487804878092,0.4242424242424221,0.5728305275955357,0.19088937093275488,0.4009009009009009,0,0,0,0,0,0
0.5,0.3780487804878092,0.4242424242424221,0.15772006878347455,0.6854663774403471,0.4099099099099099,0,0,0,0,0,0
0.5,0.3658536585365866,0.4090909090909136,0.42715851962190987,0.3427331887201736,0.4189189189189189,0,0,0,0,0,0
1.0,0.35365853658537105,0.37878787878788245,0.31105902454518564,0.39045553145336237,0.42792792792792794,0,0,0,0,0,0
1.0,0.35365853658537105,0.3939393939393909,0.19386425121302064,0.6919739696312366,0.44144144144144143,0,0,0,0,0,0
1.0,0.3658536585365866,0.3939393939393909,0.3351551461648832,0.43383947939262485,0.45495495495495497,0,0,0,0,0,0
0.5,0.35365853658537105,0.37878787878788245,0.17962563389229036,0.488069414316703,0.46846846846846846,0,0,0,0,0,0
0.0,0.3658536585365866,0.3939393939393909,0.11390893856584272,0.7375271149674623,0.4774774774774775,0,0,0,0,0,0
0.5,0.35365853658537105,0.37878787878788245,0.08214586915805966,0.7765726681127985,0.5,0,0,0,0,0,0
0.5,0.35365853658537105,0.37878787878788245,0.09528920822334919,0.6225596529284165,0.509009009009009,0,0,0,0,0,0
0.5,0.35365853658537105,0.37878787878788245,0.10186087775599395,0.7396963123644253,0.5180180180180181,0,0,0,0,0,0
1.0,0.35365853658537105,0.37878787878788245,0.10186087775599395,0.7028199566160522,0.527027027027027,0,0,0,0,0,0
0.0,0.35365853658537105,0.3939393939393909,0.1062419907777572,0.6898047722342735,0.5405405405405406,0,0,0,0,0,0
1.0,0.35365853658537105,0.37878787878788245,0.21576981632183667,0.6681127982646422,0.5630630630630631,0,0,0,0,0,0
0.5,0.35365853658537105,0.37878787878788245,0.2343895466643302,0.7028199566160522,0.5765765765765766,0,0,0,0,0,0
1.0,0.3414634146341484,0.36363636363636687,0.6221180490903715,0.19739696312364424,0.5855855855855856,0,0,0,0,0,0
0.5,0.35365853658537105,0.37878787878788245,0.1566247905280338,0.6420824295010847,0.5990990990990991,0,0,0,0,0,0
0.0,0.35365853658537105,0.3939393939393909,0.16429173831611932,0.8069414316702821,0.6081081081081081,0,0,0,0,0,0
1.0,0.3658536585365866,0.3939393939393909,0.15005312099538903,0.594360086767896,0.6306306306306306,0,0,0,0,0,0
0.5,0.3658536585365866,0.37878787878788245,1.0000000000000002,0.0,0.6441441441441441,1,0,0,1,0,0
0.5,0.3658536585365866,0.37878787878788245,0.11829005158760597,0.8286334056399134,0.6531531531531531,0,0,0,0,0,0
0.0,0.35365853658537105,0.36363636363636687,0.24315177270785648,0.5878524945770065,0.6621621621621622,0,0,0,0,0,0
0.5,0.3414634146341484,0.36363636363636687,0.3176306940778304,0.3991323210412148,0.6846846846846847,0,0,0,0,0,0
0.5,0.3414634146341484,0.36363636363636687,0.45563575426337066,0.2906724511930587,0.6936936936936937,0,0,0,0,0,0
0.5,0.35365853658537105,0.37878787878788245,0.2595809465394683,0.5206073752711498,0.7027027027027027,0,0,0,0,0,0
0.5,0.35365853658537105,0.37878787878788245,0.22124620759904068,0.5574837310195229,0.7117117117117117,0,0,0,0,0,0
0.5,0.35365853658537105,0.37878787878788245,0.26067622479490926,0.5119305856832972,0.7207207207207207,0,0,0,0,0,0
1.0,0.35365853658537105,0.36363636363636687,0.42277740660014684,0.27765726681127983,0.7297297297297297,0,0,0,0,0,0
0.5,0.35365853658537105,0.37878787878788245,0.11281366031040196,0.8177874186550977,0.7432432432432432,0,0,0,0,0,0
0.5,0.35365853658537105,0.37878787878788245,0.12924283414201376,0.7787418655097615,0.7522522522522522,0,0,0,0,0,0
1.0,0.35365853658537105,0.36363636363636687,0.34720320697473195,0.4663774403470717,0.7612612612612613,0,0,0,0,0,0
0.5,0.35365853658537105,0.36363636363636687,0.6067841535142005,0.13449023861171366,0.7747747747747747,0,0,0,0,0,0
1.0,0.3658536585365866,0.36363636363636687,0.5881644231717067,0.19956616052060733,0.7837837837837838,0,0,0,0,0,0
0.5,0.3780487804878092,0.37878787878788245,0.27162900734931705,0.47505422993492413,0.7972972972972973,0,0,0,0,0,0
0.5,0.3780487804878092,0.37878787878788245,0.13033811239745474,0.6160520607375273,0.8063063063063063,0,0,0,0,0,0
1.0,0.3658536585365866,0.3484848484848442,0.44249241519808113,0.2603036876355748,0.8153153153153153,0,0,0,0,0,0
0.0,0.35365853658537105,0.3484848484848442,0.2091981467891919,0.594360086767896,0.8288288288288288,0,0,0,0,0,0
0.5,0.35365853658537105,0.3484848484848442,0.2760101203710803,0.3405639913232104,0.8513513513513513,0,0,0,0,0,0
